facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,8.84,8.84,pg/g,0.701,Yes,Y,J,J,J,9.71,0.718,0.701,pg/g,,8.84,8.84,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,6.8,6.8,pg/g,0.485,Yes,Y,J,J,J,9.71,1.75,0.485,pg/g,,6.8,6.8,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",,167,167,pg/g,0.485,Yes,Y,,,,,,0.485,pg/g,,167,167,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,21.8,21.8,pg/g,0.916,Yes,Y,,,,9.71,1.36,0.916,pg/g,,21.8,21.8,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",,548,548,pg/g,1.09,Yes,Y,,,,,,1.09,pg/g,,548,548,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",,487,487,pg/g,2.15,Yes,Y,,,B,,,2.15,pg/g,,487,487,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",,21.7,21.7,pg/g,0.485,Yes,Y,,,,9.71,1.17,0.485,pg/g,,21.7,21.7,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran",,11.2,11.2,pg/g,0.485,Yes,Y,,,,9.71,2.04,0.485,pg/g,,11.2,11.2,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,57117-44-9,"1,2,3,6,7,8-Hexachlorodibenzofuran",,27.6,27.6,pg/g,1.09,Yes,Y,,,,9.71,1.26,1.09,pg/g,,27.6,27.6,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,57653-85-7,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",,43.8,43.8,pg/g,0.701,Yes,Y,,,,9.71,0.971,0.701,pg/g,,43.8,43.8,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,60851-34-5,"2,3,4,6,7,8-Hexachlorodibenzofuran",,16.5,16.5,pg/g,1.09,Yes,Y,,,,9.71,0.913,1.09,pg/g,,16.5,16.5,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,67562-39-4,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",,528,528,pg/g,0.916,Yes,Y,,,B,9.71,1.94,0.916,pg/g,,528,528,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,70648-26-9,"1,2,3,4,7,8-Hexachlorodibenzofuran",,79.2,79.2,pg/g,1.09,Yes,Y,,,,9.71,0.748,1.09,pg/g,,79.2,79.2,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,72918-21-9,"1,2,3,7,8,9-Hexachlorodibenzofuran",,1.09,1.09,pg/g,1.09,Yes,N,U,U,U,9.71,1.07,1.09,pg/g,,,,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,12/10/2014,2C,T,INITIAL,METHOD,,,WG49581,0,1,,,380516,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",,16.3,16.3,pg/g,0.964,Yes,Y,,,,1.94,,0.964,pg/g,,16.3,16.3,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,13029-08-8,"Dichlorobiphenyl; 2,2'- (PCB 4)",Y,49500,49500,pg/g,6.46,Yes,Y,,,B,3.88,1.94,6.46,pg/g,,49500,49500,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,1336-36-3,Polychlorinated Biphenyl (PCB),,1550000,1550000,pg/g,,Yes,Y,,,,,,,,,1550000,1550000,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,15862-07-4,"Trichlorobiphenyl; 2,4,5- (PCB 29)",Y,14,14,pg/g,14,Yes,N,C26,C26,C26,,,14,pg/g,,,,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,15968-05-5,"Tetrachlorobiphenyl; 2,2',6,6'- (PCB 54)",Y,119,119,pg/g,0.485,Yes,Y,,,,3.88,3.2,0.485,pg/g,,119,119,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,16605-91-7,"Dichlorobiphenyl; 2,3- (PCB 5)",Y,122,122,pg/g,4.51,Yes,Y,,,B,3.88,2.82,4.51,pg/g,,122,122,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,16606-02-3,"Trichlorobiphenyl; 2,4',5- (PCB 31)",Y,36000,36000,pg/g,13.2,Yes,Y,,,B,3.88,2.43,13.2,pg/g,,36000,36000,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,18259-05-7,"Pentachlorobiphenyl; 2,3,4,5,6- (PCB 116)",Y,20.2,20.2,pg/g,20.2,Yes,N,C85,C85,C85,,,20.2,pg/g,,,,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2050-67-1,"Dichlorobiphenyl; 3,3'- (PCB 11)",Y,5440,5440,pg/g,4.28,Yes,Y,,,B,3.88,2.72,4.28,pg/g,,5440,5440,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2050-68-2,"Dichlorobiphenyl; 4,4'- (PCB 15)",Y,11100,11100,pg/g,4.24,Yes,Y,,,B,3.88,2.04,4.24,pg/g,,11100,11100,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2051-24-3,Decachlorobiphenyl (PCB 209),Y,4620,4620,pg/g,0.596,Yes,Y,,,B,3.88,3.11,0.596,pg/g,,4620,4620,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2051-60-7,Chlorobiphenyl; 2- (PCB 1),Y,67700,67700,pg/g,2.02,Yes,Y,,,,3.88,2.04,2.02,pg/g,,67700,67700,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2051-61-8,Chlorobiphenyl; 3- (PCB 2),Y,353,353,pg/g,2.04,Yes,Y,,,,3.88,2.43,2.04,pg/g,,353,353,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2051-62-9,Chlorobiphenyl; 4- (PCB 3),Y,2870,2870,pg/g,1.75,Yes,Y,,,,3.88,23.3,1.75,pg/g,,2870,2870,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2136-99-4,"Octachlorobiphenyl; 2,2',3,3',5,5',6,6'- (PCB 202)",Y,2200,2200,pg/g,0.607,Yes,Y,,,,3.88,1.94,0.607,pg/g,,2200,2200,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,2437-79-8,"Tetrachlorobiphenyl; 2,2',4,4'- (PCB 47)",Y,0.485,0.485,pg/g,0.485,Yes,N,C44,C44,C44,,,0.485,pg/g,,,,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1668A MLA010,12/30/2014,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380517,25323-68-6,Total Trichlorobiphenyls,,196000,196000,pg/g,,Yes,Y,,,,,,,,,196000,196000,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
