Party Associated with Site,Property at Issue Shorthand,Site Address,Latitude,Longitude,River Mile (RM),Site Operator,Beginning Year of Operations,End Year of Operations,Description/Notes on Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Beginning Year of Remediation,End Year of Remediation,List of COCs found on-site during Remediation
PSE&G,Essex Property,"155 Raymond Boulevard, Newark NJ",,,,Public Service Electric and Gas Company,1915,present,"operated electricity-generating station, generated combustion gases",PAHs,"HP boiler cleaning residuals
LP boiler cleaning residuals
air heater/fireside wash water
boiler blowdown
carbon black
coal bottom ash
coal storage runoff
combustion gases
condenser cleanings
feewater heater cleanings
filter press waste
fly ash
natural gas scrubber waste
noncontact cooling water
soot
transil oil
waste oil",,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",PSE&G,,,
"Purdue Pharma Technologies, Inc.",,"199 Main Street, Lodi NJ",,,,"Purdue Pharma Technologies, Inc.",1946,1995,manufactured chemicals for cosmetic and pharmaceutical industries,"PAHs
PCBs
copper
lead
mercury",,"dioxin-associated compounds
fumaric acid
phenol
phthalic anhydride",,"1,1,1-trichloroethane
1,1,2-trichloroethane
1,2 dichlorobenzene
PAHs
PCBs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury
toluene","Purdue Pharma Technologies, Inc.",,,
"Quala Systems, Inc.
Quality Carriers, Inc.",,"80 Doremus Ave., Newark NJ",,,,"Quala Systems, Inc.
Quality Carriers, Inc.",1970,1993,truck washing facility,"DDT
PAHs
PCBs
copper
lead
mercury",,,,"PCBs
benzene
copper
lead
phenol
zinc","Quala Systems, Inc.
Quality Carriers, Inc.",,,
Reckitt Benckiser LLC,,"192-194 Bloomfield Ave., Bloomfield NJ",,,,Lehn&Fink,1925,1965,manufactured chemicals and pharmaceuticals,PAHs,"cresols
phenols",,PAHs,,Reckitt Beckinser LLC,,,
Revere Smelting and Refining Corporation,,"387 Avenue P., Newark NJ",,,,Revere Smelting & Refining Corporation,1957,1972,operated a lead and antimony recovery and smelting plant,"copper
lead",,"copper
lead
sodium hydroxide",,lead,Revere Smelting & Refining Corporation,,,
Rexam Beverage Can Company,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
"Roselle Mausoleum Maintenance Fund, Inc.",Kearny Landfill,"1500 Harrison Ave., Kearny NJ",,,,"Roselle Mausoleum Maintenance Fund, Inc.",late 1940s,early 1980s,operated a landfill for municipal and industrial waste,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury",,,,,"Roselle Mausoleum Maintenance Fund, Inc.",,,
"Roselle Mausoleum Maintenance Fund, Inc.",Keegan Landfill,"Bergan Ave., Kearny NJ",,,,"Roselle Mausoleum Maintenance Fund, Inc.",late 1940s,early 1980s,operated a landfill for municipal and industrial waste,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury",,,"1,4-dichlorobenzene
DDT
PAHs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury","2,3,7,8-TCDD
DDT
PAHs
PCBs
copper
dieldrin
lead
mercury","Roselle Mausoleum Maintenance Fund, Inc.",,,
"Royce Associates, a Limited Partnership",,"17 Carlton Ave., East Rutherford NJ",,,,"Royce Associates, a Limited Partnership",1931,1982,manufactured chemicals for the textile and rubber manufacturing industries,"PCBs
copper
lead
mercury","sodium
sodium dithinite
zinc hydroxymethane sulfinite
zinc sulfoxalate formaldehyde","caustic soda
formaldehyde
methanol
sodium chloride
sulfur dioxide",,"arsenic
barium
benzene
chlorobenzene
ethylbenzene
lead
mercury
methylene chloride
toluene
trichlorofluoromethane","Royce Associates, a Limited Partnership",,,
RT Vanderbilt Holding Company Inc.,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
RTC Properties Inc.,,"100 Central Ave., Kearny NJ",,,,"RTC Properties, Inc.",1964,1983,dismantled ships for scrap metal,"PAHs
copper
lead
mercury",,,,"PAHs
copper
lead
mercury","RTC Properties, Inc.",,,
Safety-Kleen Envirosystems Co.,,"600 Doremus Ave., Newark NJ",,,0-0.5,McKesson Corporation,1974,1982,"Safety-Kleen bought property in 1987, plant manufactured and processed chemicals, plant closed permanently in 1982","PCBs
copper
lead
mercury",,"acetone
dimethyl aniline
hydrochloric acid
methylene chloride
mixed chlorinated hydrocarbons
toluene
xylenes",methylene chloride,,Safety-Kleen Envirosystems Company,1982,2001,"PCBs, carbon, tetrachloride, methylene chloride, trichloroethane, hexachlorobenzene, methyl aniline, arsenic, lead, mercury, acetone, methanol, toluene, iron, lead"
Sequa Corporation,,"185 Foundry Street, Newark NJ",,,,Sequa Corporation,1967,1987,manufactured organic pigments,"PAHs
PCBs
copper
lead
mercury",,"PCBs
acetic acid
arsenic
bis(2-ethylhexyl) phthalate
cadmium
chromium
dianilinoterephthalic acid
ditoluidinoteriphthalic acid
ethyl benzene
lead
methanol
phosphoric acid
sodium hydroxide
toluene
xylenes",,"PCBs
base neutrals
copper
lead
mercury
other priority pollutant metals
petroleum hydrocarbons
volatile organic compounds",Sequa Corporation,,,
"Spectraserv, Inc.",,"75 Jacobus Ave., Kearny NJ",,,,"Spectraserv, Inc.",1962,,operated a waste treatment and disposal facility for municipal and industrial waste,"PAHs
PCBs
copper
dioxins
lead
mercury",,"PCBs
copper
cupric sulfate
lead
mercury","copper
mercury","PAHs
copper
dioxin-associated compounds
lead
mercury
other metals","Spectraserv, Inc.",1990,,"copper, mercury, lead, dioxin-associated compounds, PAHs, other metals"
Staley Holdings LLC,,"320 Schuyler Ave., Kearny NJ",,,,"A.E. Staley
Staley Holdings LLC",1966,1975 (at least),"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
methyl acrelate
methyl methacrelate
nickel
silver",,,Staley Holdings LLC,,,
Staley Holdings LLC,,"100 Third Ave., Kearny NJ",,,,"A.E. Staley
Staley Holdings LLC",,1978,"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
nickel
silver",,,Staley Holdings LLC,,,
"Stanley Black & Decker, Inc.",,"140 Chapel Street, Newark NJ",,,,Stanley Black & Decker Inc.,1875,1985,manufactured hand tools,"PAHs
PCBs
copper
lead",,"fuel oil
quench oil
transformer oil",,"4,4-DDE
4,4-DDT
DDT
PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Stanley Black & Decker Inc.,,,
STWB Inc.,,"104-112 Lister Ave., Newark NJ",,,,STWB Inc.,1986,,"produced phthalocyanine colors, transoxides for the textile industry, D&C colors for the drug and cosmetic industry, 2,4,2-Schaeffer salt, and florescein dyes","PAHs
PCBs
copper
lead
mercury",,"PCBs
chlorinated naphthalenes
chlorine
copper
dioxin-associated compounds
dioxins
furans
lead
mercury
phthalic anhydride
trichlorobenzene",,"PAHs
PCBs
copper
dichlorobenzene
hexachlorobenzene
lead
mercury
other hazardous substances
trichlorobenzene",STWB Inc.,,,
Sun Chemical Corporation,,"185 Foundry Street, Newark NJ",,,,Sun Chemical Corporation,1986/1987,2003,manufactured organic pigments for automotive paints and plastics,"PAHs
PCBs
copper
lead
mercury",,"PCBs
acetic acid
arsenic
bis(2-ethylhexyl) phthalate
cadmium
chromium
dianilinoterephthalic acid
ditoluidinoteriphthalic acid
ethylbenzene
lead
methanol
phosphoric acid
sodium hydroxide
toluene
xylenes",,"PCBs
base neutrals
copper
lead
mercury
other priority pollutant metals
petroleum hydrocarbons
volatile organic compounds",Sun Chemical Corporation,,,
Tate & Lyle Ingredients Americas LLC,,"320 Schuyler Ave., Kearny NJ",,,,Tate & Lyle Ingredients Americas LLC,1966,1975 (at least),"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
methyl acrelate
methyl methacrelate
nickel
silver",,,Tate & Lyle Ingredients Americas LLC,,,
Tate & Lyle Ingredients Americas LLC,,"100 Third Ave., Kearny NJ",,,,Tate & Lyle Ingredients Americas LLC,,1978,"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
nickel
silver",,,Tate & Lyle Ingredients Americas LLC,,,
Teval Corp.,,"900-1000 South Fourth Street, Harrison NJ",,,,Teval Corporation,1947,,operated a pipe fabrication facility,"PAHs
PCBs
copper
lead
mercury",,"copper
lead
mercury
sulfuric acid",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",Teval Corporation,,,
Textron Inc.,,"681 Main Street, Belleville NJ",,,,"Federal Leather Company, Inc.",1956,1968,"manufactured leather, artificial leather, and vinyl plastics","PAHs
copper
mercury",,,,,"Textron, Inc.",,,
"Textron, Inc.",,"400 Doremus Ave., Newark NJ",,,,"Textron, Inc.",1978,,manufactured chemicals and resins,"PAHs
PCBs
copper
lead
mercury","alkyd resin
polyester resin","PAHs
dioxin-associated compounds",,"PAHs
PCBs
copper
lead
mercury","Textron, Inc.",,,
The Hartz Mountain Corporation,,"600 and 700 Blocks, South 4th Street, Harrison NJ",,,,The Hartz Mountain Corporation,1970,1993 (at least),"manufactured, assembled, warehoused, and distributed pet supplies and pet foods","PAHs
PCBs
copper
lead
mercury",,"acetylene
battery acid
dimethyl ether
fungicides
kerosene
pesticides","chlorides
grease
lead
mercury
oil
pesticides
volatile solids
volatile solvents","PCBs
copper
lead
nickel",The Hartz Mountain Corporation,,,
"The Newark Group, Inc.",,"17 Blanchard Street, Newark NJ",,,,"The Newark Group, Inc.",late 1890s,,"manufactured recycled paperboard into plain, laminating, partition and lined chip finished products","PCBs
copper
dioxin-associated compounds
lead
mercury",,"PCBs
copper
lead
mercury","arsenic
copper
lead
mercury",,"The Newark Group, Inc.",,,
The Okonite Company,,"Block 1076, Canal and Jefferson Streets, Passaic City NJ",,,,"The Okonite Company, Inc.",at least 1973,,"manufactured insulated electrical wires, cables, tape and splicing tape","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,trichloroethylene,PAHs,"copper
dioxin-associated compounds
lead
mercury
petroleum hydrocarbons
zinc",,,,
The Sherwin-Williams Company,Sherwin Williams Site,"40, 60, 62-70 Lister Ave., Newark",,,,The Sherwin-Williams Company,1902,1999,manufactured paints and related products and DDT and stored insecticides,"DDT
PAHs
PCBs
copper
dieldrin
lead
mercury",,,,,,,,
The Sherwin-Williams Company,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
The two Sunoco Parties,,"436 Doremus Ave., Newark NJ",,,0-0.5,The two Sunoco parties,1916,present,"shipped, stored, and distributed petroleum products","PAHs
PCBs
copper
lead",,"PAHs
fuel oil
oil products
oil/water separator wastes
petroleum sludge
tank bottom solids
waste crank oil",,"PAHs
PCBs
iron
lead
volatile organic compounds","Sunoco (R&M), LLC
Sunoco Partners Marketing & Terminals L.P.",1993,,
Tiffany and Company,,"820 Highland Ave., Newark NJ",,,,Tiffany and Company,1897,1985,"produced sterling silver and manufactured flatware, hollowware, and fancy goods","PAHs
copper
lead
mercury",,"hydrofluoric acid
nitric acid
sulfuric acid",,"PAHs
copper
lead
mercury",Tiffany and Company,,,
United States Steel Corporation,,"100 Central Ave., Kearny NJ",,,,United States Steel Corporation,1917,1948,built and repaired merchant and war ships,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury",,"PAHs
chromium
chrysene
copper
lead
mercury
naphthalene
trichloroethene
zinc","RTC Properties, Inc.
United States Steel Corporation",,,
ViacomCBS Inc. (f/k/a CBS Corporation),,"95 Orange Street, Newark NJ",,,,CBS Corporation,1893,1983,manufactured relay instrument and electrical equipment,"copper
lead
mercury",,"Pyranol A
copper
cutting-oil waste
lead","caustic soda
copper
grease
lead
mercury
oil","PAHs
PCBs
copper
dieldrin compounds
dioxin-associated compounds
lead
mercury",,,,
Schiffenhaus Packaging Corporation,,"2013 McCarter Highway, Newark NJ",,,,Schiffenhaus Packaging Corporation,1895,present,manufactured linerboard and fiber,,,"PAHs
copper
lead
mercury","PAHs
copper
lead
mercury",,,,,
"Wiggins Plastics, Inc.",,"180 Kingsland Road, Clifton NJ",,,,"Wiggins Plastics, Inc.",1955,present,"manufactured thermoset and thermoplastic components for electronic, electrical and mechanical use","PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
benzene
copper
iron
petroleum hydrocarbons
toluene
xylenes",hazardous substances,"arsenic
chlorobenzene
chloroform
copper
lead
mercury
methylene chloride
toluene","Wiggins Plastics, Inc.",,,
"Zeneca, Inc.",Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",,,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
ISP Chemicals LLC,ISP - Belleville,"11 William Street, Belleville NJ",,,,ISP Chemicals LLC,1943,present,"manufacured ultraviolet absorbers, emulsifiers, and emollients.","PAHs
PCBs
dioxins
mercury",,"acetone
chloroform
formaldehyde
fuel oil
methanol
propane
tetrahydrofuran",,"PCBs
PHCs
benzene
di-n-butyl phthalate
mercury
volatile organic compounds",,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
