,Party Associated with Site,Property at Issue Shorthand,Site_Address,Latitude,Longitude,River Mile (RM),Site Operator,Beginning Year of Operations,End Year of Operations,Description/Notes on Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Beginning Year of Remediation,End Year of Remediation,List of COCs found on-site during Remediation
10,Arkema Inc.,,"25 Main Stret, Belleville NJ",40.7815716,-74.1500076,,"Wallace & Tiernan, Inc. (WTI)",1913,1997,"WTI manufactured measurement and control equipment, including chlorinators, pressure instruments, flow meters, dry chemical feed systems, and cathodic protection systems","copper
mercury",,"cadmium
chrome
copper
nickel","copper plating solution
flammable solvents
lead waste
waste painting materials","cadmium
copper
mercury
nickel",Arkema Inc.,,,
11,Ashland LLC,Ashland - Kearny,"1106 Harrison Avenue, Kearny NJ",40.7483548,-74.1405013,,Drew Chemical Corporation,1970,,"Drew Chemical Corporation manufactured industrial water treatment chemicals, boiler compounds, paint defoamers, and other specialty chemicals. It also performed reactor work for esterification and saponfication and operated a warehouse facility.","PAHs
copper
dioxins
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury","acrylamide
chromium compounds
copper
ethylene glycol
lead
volatile organic compounds
zinc compounds","PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury
polyacrylamide polymer
semi-volatile organic compounds
volatile organic compounds",Ashland LLC,,,
12,Ashland LLC,Foundry Property,"221 Foundry Street, Newark NJ",40.72603489999999,-74.1304189,,Ashland LLC,1968,1990,"received, stored, and repackage aliphatic and aromatic hydrocarbons, acids, alcohols, alkines, amines, esters, ethers, glycols, halogenated solvents, ketones, nitroparaffins","PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury",,,,
13,Atlantic Richfield Company,Getty Newark Terminal Site,"86 Doremus Ave., Newark NJ",40.7303078,-74.1205698,1.5,Atlantic Richfield Company,1930,1950,"operated a bulk petroleum storage facility, eventually replaced at the site by LeeMilt","PAHs
PCBs
copper
lead",,lead,,,"Atlantic Richfield Company
LeeMilt’s Petroleum, Inc.",,,
14,"Atlas Refinery, Inc.",,"142 Lockwood Street, Newark NJ",40.7376976,-74.13273570000001,,"Atlas Refinery, Inc.",1887,present,Atlas Refining's operations centered around generating and refining chemicals,"PAHs
copper
lead
mercury","acetylene
ammonia
diethyl sulfate
ethyl alcohol
formaldehyde
fuel oil #6
mercury
phenol
selenium
sulfuric acid","acrylic acid
anhydrous ammonia
fuel oil
sodium bisulfate
sulfuric acid","arsenic
copper
cyanide
formaldehyde
iron
lead
mercury
petroleum hydrocarbons
phenol",,"Atlas Refinery, Inc.",,,
15,Aventisub LLC,,"540 New York Avenue, Lyndhurst NJ",40.8127336,-74.1202291,,Aventisub LLC,1985,1987,manufactured pharmaceuticals and pesticides as part of pesticide and agrichemical business,"DDT
PAHs",DDT,,,"DDD
DDE
DDT
aldrin
alpha-BHC
b-BHC
chlordane
dieldrin
dioxin-associated compounds
heptachlor
lindane
maleic acid",Aventisub LLC,,,
16,BASF Catalysts LLC,,"1 West Central, Easte Newark NJ",40.7497019,-74.16363129999999,,BASF Catalysts LLC,1953,,"manufactured materials such as potassium gold cyanide, silver cyanide salt, ink paste and ink powder","PAHs
copper
lead
mercury","potassium gold cyanide
precious metal coating products
silver cyanide salt","111-Trichloroethane
arsenic
lead
mercury","sodium hydroxide
sodium sulfate",,BASF Catalysts LLC,,,
17,BASF Corporation,United Cork Site,"50 Central Ave., Kearny, NJ",40.7203865,-74.1161204,,"BASF Corporation
United Cork Companies",1935,1990,"BASF manufactured chemical products, intermediaries, plasticizers, and dyes. BASF is the successor to United Cork Companies. United Cork manufactured insulation and dyestuffs.","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",phthalic anhydride (dioxin-associated compound),"benzaldehyde
chloranil
maleic anhydride",,"PAHs
PCBs
bis(2-ethylhexyl) phthalate
copper
lead
mercury
petroleum hydrocarbons
phthalates
xylene",BASF Corporation,,,
18,BASF Corporation,BASF Hawthorne Site,"150 Wagaraw Road, Hawthorne NJ",40.9394458,-74.1595947,,BASF Corporation,1946,1986,"manufactured textile pigment dispersions, dyestuffs, pigments, dyes, special polymers, and chemicals","chromium
copper
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",BASF Corporation,,,
19,BASF Corporation,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
20,BASF Corporation,Bayonne Barrel & Drum Property,"150-154 Raymond Bouldevard, Neark NJ",40.7343615,-74.12686339999999,,Bayonne Barrel & Drum,1940,1983,"cleaned and reconditioned steel drums which contained waste, including hazardous substances","DDT
PAHs
copper
dioxins
lead
mercury",,,"PAHs
PCBs
copper
dioxins
lead
mercury
metals",,Bayonne Barrel and Drum Defendants,,,
21,Bath Iron Works,,"195 Belgrove Drive, Kearny NJ",40.7588217,-74.15789749999999,,Congoleum Corp.,late 1880s,mid 1980s,"BWI's predecessor (Congoleum Corp.) manufactured linoleum and/or vinyl flooring, wall coverings, and desk tops. They also manufactured tent cloth, aerial torpedo parts, grenades, synthetic leathers, flooring adhesives, and vinyl asbestos tile. They also operate a laboratory and power plant.","PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs
lead
mercury",,"DDT
PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Bath Iron Works Corporation,,,
22,Benjamin Moore,D&J Trucking Property,"310-336 Avenue P, Newark Nj",40.7235576,-74.1287424,,D&J Trucking Property,1974,,D&J Trucking used the site to dump hazardous substances and other compounds illegally. Benjamin Moore abd Sherwin-Williams arranged to dispose of their hazardous substances with D&J Trucking.,"DDx
PAHs
PCBs
copper
lead
mercury",,,,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury","Benjamin Moore & Co.
The Sherwin-Williams Company",,,
23,Benjamin Moore & Co.,,134 Lister Avenue,40.739709,-74.1320705,3.4,Benjamin Moore & Co.,1925,,manufactured paint and resin and disposed of hazardous substances in the Passaic River,"PAHs
PCBs
copper
lead
mercury",,,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Benjamin Moore & Co.,,,
24,Berol Corporation,,"41 Dickerson Street, Newark NJ",40.7473754,-74.18465789999999,,Faber-Castell Corporation,before 1934,,"manufactured rubber, ink, and paint","PAHs
copper",,"PAHs
PCBs
copper
lead",,PAHs,Berol Corporation,,,
25,Borden & Remington Corp.,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
26,Campbell Foundry Company,Bergen Street Property,"800 Bergen Street, Harrison NJ",40.7437605,-74.1474387,,,1930,present,"manufactured manhole covers, storm drain gratings, sewer gratings, and other cast iron products","PAHs
PCBs
lead
mercury",,"acetylene
antifreeze
cadmium
cerium
chromium
lead
methylene chloride
phosphoric acid
titanium dioxide","cadmium
chromium
lead",,Campbell Foundry Company,,,
27,Campbell Foundry Company,Worthington Ave. Property,"2 Worthington Avenue, Harrison NJ",40.7464901,-74.1562551,,,1975,1992,"CFC did not operate on Worthington Ave. property since it bought it in 1975. However, soil samples show that past manufacturing operations have left arsenic, mercury, lead, benzo(a) anthracene, benzo(b) fluoranthene, and copper",,,,"arsenic
benzo(a) anthracene
benzo(b) fluoranthene
copper
lead
mercury",,Campbell Foundry Company,,,
28,Campbell Foundry Company,Shipping Yard Property,"1235 Harrison Ave., Kearny NJ",40.7493835,-74.134135,,,1981,1991,"illegal landfill used to dispose of waste sand, clay sag, and cupola dust (which contains cadmium and lead)","PAHs
PCBs
lead
mercury",,"cadmium
lead","cadmium
lead",,Campbell Foundry Company,,,
29,Canning Gumm,,"538 Forest Street, Kearny NJ",40.771024,-74.13780899999999,,Canning Gumm LLC,1938/1939,2000,"Canning Gumm (and/or its predecessors) manufactured ""Clepo"", cleaners, acid salts, abrasive tumbling compounds, paint strippers, soap compounds, other chemicals for metal plating, painting or other finishing. It also manufactured alkaline cleaners, powder and liquid acids, mass finishing compounds, phosphating compounds a sulfuric-acid based brass brightener. Additionally, Canning Gumm compounded commercial detergents, blended specialty products for metal finishing processes, and operated a laboratory for metal finishing processes. Canning Gumm also blended powdered and liquid raw materials.","PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury","copper
cyanide
lead
nickel","1,1,1-trichloroethane
1,1-dichloroethane
benzene
chloride
chloride, toluene, volatile organic compounds, xylenes, 1,1,1-trichloroethane, 1,1-dichloroethane, benzene, methylene chloride, and xylenes
methylene chloride
toluene
volatile organic compounds
xylene",Canning Gumm LLC,,,
30,"Chargeurs, Inc.",Main Street Property,"199 and 205 Main Street, Lodi NJ",40.8807338,-74.08417969999999,,"Chargeurs, Inc.",1800s,1957,"manufactured dyestuffs, pharmaceuticals, synthetic organic chemicals, inorganic chemicals, fine chemicals, industrial cleaning solutions, and resins","PAHs
PCBs
copper
dioxins
lead
mercury",,,,"1,2-dichlorobenzene
PAHs
antimony
arsenic
chlorinated organic compounds
copper
lead
mercury
nonchlorinated organic compounds
tetrachloroethene
toluene","Chargeurs, Inc.",,,
31,"Chargeurs, Inc.",Arnot Property,"42 Arnot Street, Lodi NJ",40.8787779,-74.0871461,,"Chargeurs, Inc.",1910,1959,"held ""slime coal"" waste piles, above-ground storage tanks, coal ash waste piles, coal storage and two large water reservoirs","PAHs
PCBs
copper
dioxins
lead
mercury",,,"PCBs
chromium
lead","PCBs
lead","Chargeurs, Inc.",,,
32,Chemtrade Chemicals Corporation,,"332-352 Doremus Ave., Newark NJ",40.7211672,-74.12397179999999,,Chemtrade Chemicals Corporation,1989,,"Chemtrade as successor to Essex Industrial Chemicals, manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.","PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
sulfuric acid",aluminum sulfate,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,,,
33,Chemtrade Chemicals Corporation,,"330 Doremus Ave., Newark NJ",40.7213832,-74.1247415,,Essex Chemical Corporation,1953,1989,"manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.","PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
sulfuric acid",aluminum sulfate,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,,,
34,Clean Earth,,"101-115 Jacobus Ave., Kearny NJ",40.7387527,-74.1125029,,"Clean Earth of North Jersey, Inc.",1984,present,"stores, treats and disposes of hazardous and non hazardous waste; Clean Earth is partial owner of 101-115 and leases 109-113 Jacobus Ave from Melon Leasing Corp.","PAHs
copper
dioxins
lead
mercury",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
arsenic
benzene
copper
dioxin-associated compounds
dioxins
lead
mercury","Clean Earth of North Jersey, Inc.
Melon Leasing Corporation, Inc.",1990.0,,dioxins
35,"CNA Holdings, LLC",,"354 and 375 Doremus Ave., Newark NJ",40.7203144,-74.1261486,,CNA Holdings LLC,1954,1996,stored and distributed chemicals in bulk; operated an on-site landfill from 1954-1974; filled and stored drums of chemicals at property from 1954-1974; manufactured formaldehyde from 1966-1993,"PAHs
dioxin-associated compounds
dioxins",formaldehyde,"caustic soda
dioxin-associated compounds
sulfuric acid",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",CNA Holdings LLC,,,
36,"Coats & Clark, Inc.",Newark Property,"260 Ogden Street, Newark NJ",40.7604194,-74.1653738,,Clark Thread Co.,before 1872,1947,"bleached, dyed, milled, and finished thread","copper
dioxin-associated compounds
dioxins
lead
mercury",,,,,Coats & Clark Inc.,,,
37,Coats & Clark Inc.,East Newark Property,"900 Passaic Ave., East Newark, NJ",40.7520062,-74.16298909999999,,Clark Thread Co.,1875,1931,"bleached, dyed milled, mercerized/finishedthread","copper
dioxin-associated compounds
dioxins
lead
mercury",,,,,Coats & Clark Inc.,,,
38,Coats & Clark Inc.,Bloomfield Property,"735 Broad Street, Bloomfield NJ",40.8177975,-74.1930146,,Clark Thread Co.,1922,1949,produced cotton thread,"copper
dioxin-associated compounds
dioxins
lead
mercury",,"sodium hypochlorite
sulfuric acid",,"PCE
chlordane
chloroform
copper
lead",Coats & Clark Inc.,,,
39,"Conopco, Inc., d/b/a Unilever",,"540 New York Ave., Lyndhurst NJ",40.8127336,-74.1202291,,"Conopco, Inc.",1938,1986,manufactured pharmaceuticals and pesticides,"DDT
PAHs",DDT,,,"4,4-DDT
DDD
DDE
DDT
aldrin
alpha-BHC
b-BHC
chlordane
dieldrin
dioxin-associated compounds
heptachlor
lindane
maleic acid","Aventisub LLC
Conopco, Inc.",,,
40,Cooper Industries,,"401 Worthington Ave., Harrison NJ",40.1598397,-74.0302251,,"Cooper Industries, LLC",1904,1985,manufacture and test centrifugal and reciprocating pumps,"PAHs
PCBs
copper
lead",,"Cobalt-60
iridium","iron
lead
mercury","PAHs
PCBs
copper
lead
mercury","Cooper Industries, LLC",,,
41,"Cooper Industries, LLC",,"7 Bank Street, Newark NJ",40.7366669,-74.17198719999999,,J. Wiss & Sons Co.,1848,1854,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
42,"Cooper Industries, LLC",,"13 Bank Street, Newark NJ",40.7375081,-74.1752817,,J. Wiss & Sons Co.,1854,,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
43,"Cooper Industries, LLC",,"26 Bank Street, Newark NJ",40.7366681,-74.1729296,,J. Wiss & Sons Co.,,1887,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
44,"Cooper Industries, LLC",,"33 Littleton Avenue, Newark NJ",40.7461457,-74.1929624,,J. Wiss & Sons Co.,1887,1985,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
45,Covanta Essex,,"66 Blanchard St., Newark NJ",40.7369019,-74.12850499999999,,Covanta Essex Co.,1990,present,waste to energy plant for refuse collection and incineration,"PAHs
copper
dioxin-associated compounds
lead",,"acetylene
caustic soda
cobalt
copper
diesel fuel
lime
nitric oxide
sulfuric acid","1,1,1-trichloroethane
benzene
benzene, lead, methylene chloride, petroleum hydrocarbons, toluene, 1,1,1-trichloroethane, zince
lead
methylene chloride
petroleum hydrocarbons
toluene
zinc","arsenic
benzene
cyanide
iron
lead",Covanta Essex Co.,,,
46,"Croda, Inc.",,"185 Foundry Street (Block 5005 -- Lot 21), Newark NJ",40.7284626,-74.13257519999999,,Croda Inc.,late 1950s,1987,manufactured lanolin and lanolin derivatives,"PAHs
copper
lead
mercury",,,,"2-Butanone
DDT
benzene
cadmium
copper
cyanide
lead
toluene
zinc",Croda Inc.,,,
47,Curtiss-Wright Corporation,,"1 Passaic Street, Wood Ridge NJ",40.863223,-74.091419,,Curtiss-Wright Corporation,,,"manufactured cyclone engines, gas turbine generators, and other defense related products","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury","""colored wastes""
cutting fluids
oil-water mixtures
pickling liquids
process-related oils
process-related oils, oil-water mixtures, cutting fluids, pickling liquids, sewage, ""colored wastes""
sewage","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Curtiss-Wright Corporation,,,
48,Darling Ingredients Inc.,,"61 Blanchard Street, Newark NJ",40.7356625,-74.129637,,Darling Ingredients Inc.,1926,,processed fat and bones to produce tallow and meat meal,"PAHs
copper
lead",,"PAHs
copper
lead",,,Darling Ingredients Inc.,,,
49,"DII Industries, LLC",,"401 Worthington Ave., Harrison NJ",40.1598397,-74.0302251,,"DII Industries, LLC",1985,1993,manufactured and tested pumps,"PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",,,,mercury,"DII Industries, LLC",,,
50,E. I. du Pont de Nemours and Company,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",40.7343615,-74.12686339999999,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
51,Eden Wood Corporation,,"1 Ackerman Ave., Clifton NJ",40.8794641,-74.1209761,,Eden Wood Corporation,1930,1986,"manufactured container board, box board, roofing felt and shingles","PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs",,"PCBs
copper
fuel oil
lead
mercury
petroleum hydrocarbons",Eden Wood Corporation,,,
52,"Elan Chemical Co., Inc.",,"268 Doremus Ave., Newark NJ",40.7239084,-74.1235372,,"Elan Chemical Co., Inc.",1977,present,manufactures chemicals for food flavor and fragrances,"PAHs
PCBs
copper
lead
mercury",,"copper chromite
copper powder
maleic acid
maleic anhydride
phthalic anhydride
sulfuric acid",,"PAHs
PCBs
acenaphthene
chlorobenzene
chrysene
copper
lead
mercury
naphthalene
phenanthrene
pyrene","Elan Chemical Co., Inc.",,,
53,Emerald Kalama Chemical LLC,,"290 River Drive, Garfield NJ",40.8683369,-74.11049799999999,,"Kalama Specialty Chemicals, Inc.",1982,1994,"Kalama Specialty manufactured chemicals for pharmaceuticals, cosmetics, food packaging and preservatives, synthetic flavorings, printing inks, and dyestuffs. Emerald Kalama bought Kalama Specialty Chemicals in 2006, but Goodrich still owns sites (Goodrich acquired Kalama Specialty in 1998).","PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
benzoic acid
formaldehyde
phenol
toluene",,biphenyl,"Emerald Kalama Chemical, LLC
Goodrich Corporation
Kalama Specialty Chemicals, Inc.",,,
54,EnPro Industries,,"1000 South Fourth Street, Harrison NJ",40.7519459,-74.15779549999999,,Crucible Steel,1900,1988,manufactured steel,"PAHs
PCBs
copper
lead
mercury",,"copper
lead
mercury
sulfuric acid",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury","EnPro Industries, Inc., formerly Crucible Steel",,,
55,Essex Chemical Corporation,,"330 Doremus Ave., Newark NJ",40.7213832,-74.1247415,,Essex Chemical Corporation,1953,1989,"manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.","PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
chromic acid
sulfuric acid
waste oil",,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,,,
56,"Everett Smith Group, Ltd.",,"20 Bruen Street, Newark NJ",40.7320181,-74.1646969,,Everett Smith Group Ltd.,1872,1939,tanned and finished leather,"copper
lead",,"arsenic
chromium
lead acetate
sulfuric acid","aniline
arsenic
chromium
copper
lead
zinc",,Everett Smith Group Ltd.,,,
57,Flint Group Incorporated,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
58,Fort James LLC,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
59,Foundry Street Corporation,Foundry Street Complex,"185 Foundry Street, Newark NJ",40.7284626,-74.13257519999999,,Automatic Electro Plating Corp.,1970,2014,electroplating steel components with zinc or nickel finishes,"copper
lead
mercury",,"arsenic
caustic soda
cyanide
lead
mercury
nickel
sulfuric acid
zinc","arsenic
copper
lead
mercury
zinc",,Foundry Street Corporation,,,
60,"Foundry Street Development, LLC",Foundry Property,221 Foundry Street,0.0,0.0,,Ashland LLC,1968,1990,"received, stored, and repackaged chemicals; Foundry Street Development owned property from 2003 until sold to meltser","PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury","Foundry Street Development, LLC",,,
61,"Franklin-Burlington Plastics, Inc.",,"113 Passaic Avenue, Kearny NJ",40.7569631,-74.162234,,"Franklin-Burlington Plastics, Inc.",1976,,manufactured plastics,"PCBs
copper
lead
mercury",,"PCBs
antimony
arsenic
beryllium
bromodichloromethane
cadmium
chloroform
chromium
chrysene
copper
ethylbenzene
flouranthene
lead
mercury
phthalates
pyrene
xylenes
zinc",,,"Franklin-Burlington Plastics, Inc.",,,
