,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
32,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",37.1,pg/sample,37.1,N,Yes,-74.06946353,40.79805402
33,Arthur Kill,8/12/1996,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",40.6,pg/g,40.6,N,Yes,-74.19741846,40.61367142
34,Hackensack River,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",30.6,pg/g,30.6,N,Yes,-74.03112978,40.81928049
35,Kill Van Kull,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",17.1,pg/g,17.1,N,Yes,-74.09882222,40.64870255
36,Arthur Kill,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",49.9,pg/g,49.9,N,Yes,-74.19741846,40.61367142
37,Kill Van Kull,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",18.6,pg/g,18.6,N,Yes,-74.09882222,40.64870255
686,01A,12/10/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0046,ug/kg,,Y,Yes,-74.13005833,40.88624485
687,01A,12/10/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0022,ug/kg,0.0022,N,Yes,-74.13005833,40.88624485
688,01A,12/10/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.005,ug/kg,,Y,Yes,-74.13005833,40.88624485
689,02A,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0019,ug/kg,0.0019,N,Yes,-74.12028209,40.87926857
690,02A,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0036,ug/kg,,Y,Yes,-74.12028209,40.87926857
691,02A,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0024,ug/kg,0.0024,N,Yes,-74.12028209,40.87926857
692,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.01,ug/kg,,Y,Yes,-74.13170759,40.82193496
693,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.008,ug/kg,,Y,Yes,-74.13170759,40.82193496
694,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0055,ug/kg,,Y,Yes,-74.13170759,40.82193496
695,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.07,ug/kg,0.07,N,Yes,-74.13170759,40.82193496
696,06A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0014,ug/kg,0.0014,N,Yes,-74.13074333,40.82008327
697,06A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0029,ug/kg,,Y,Yes,-74.13074333,40.82008327
698,06A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00056,ug/kg,0.00056,N,Yes,-74.13074333,40.82008327
699,08A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0079,ug/kg,0.0079,N,Yes,-74.14236526,40.79037784
700,08A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0089,ug/kg,0.0089,N,Yes,-74.14236526,40.79037784
701,08A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.003,ug/kg,0.003,N,Yes,-74.14236526,40.79037784
702,09A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0069,ug/kg,,Y,Yes,-74.14875413,40.77871116
703,09A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0018,ug/kg,0.0018,N,Yes,-74.14875413,40.77871116
704,09A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0022,ug/kg,0.0022,N,Yes,-74.14875413,40.77871116
705,10A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.12,ug/kg,0.12,N,Yes,-74.15898209,40.76560079
706,10A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.12,ug/kg,0.12,N,Yes,-74.15898209,40.76560079
707,10A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.063,ug/kg,0.063,N,Yes,-74.15898209,40.76560079
708,12A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.016,ug/kg,,Y,Yes,-74.16212145,40.73758477
709,12A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0008,ug/kg,0.0008,N,Yes,-74.16212145,40.73758477
710,12A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0011,ug/kg,0.0011,N,Yes,-74.16212145,40.73758477
711,13A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.014,ug/kg,,Y,Yes,-74.14739783,40.73349846
712,13A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.01,ug/kg,0.01,N,Yes,-74.14739783,40.73349846
713,13A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0014,ug/kg,0.0014,N,Yes,-74.14739783,40.73349846
714,13A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00065,ug/kg,0.00065,N,Yes,-74.14739783,40.73349846
715,13A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00033,ug/kg,0.00033,N,Yes,-74.14739783,40.73349846
716,13A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00058,ug/kg,0.00058,N,Yes,-74.14739783,40.73349846
717,14A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.029,ug/kg,,Y,Yes,-74.15221123,40.73445047
718,14A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0055,ug/kg,0.0055,N,Yes,-74.15221123,40.73445047
719,14A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00073,ug/kg,0.00073,N,Yes,-74.15221123,40.73445047
720,14A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00074,ug/kg,0.00074,N,Yes,-74.15221123,40.73445047
721,14A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00053,ug/kg,0.00053,N,Yes,-74.15221123,40.73445047
722,14A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00069,ug/kg,0.00069,N,Yes,-74.15221123,40.73445047
723,14A,11/20/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0015,ug/kg,0.0015,N,Yes,-74.15221123,40.73445047
724,15A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.037,ug/kg,,Y,Yes,-74.14347017,40.73880289
725,15A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0012,ug/kg,0.0012,N,Yes,-74.14347017,40.73880289
726,15A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00085,ug/kg,0.00085,N,Yes,-74.14347017,40.73880289
727,15A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0016,ug/kg,0.0016,N,Yes,-74.14347017,40.73880289
728,15A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00037,ug/kg,0.00037,N,Yes,-74.14347017,40.73880289
729,15A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00058,ug/kg,0.00058,N,Yes,-74.14347017,40.73880289
730,15A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0011,ug/kg,0.0011,N,Yes,-74.14347017,40.73880289
731,16A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.013,ug/kg,,Y,Yes,-74.13984489,40.74000236
732,16A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.012,ug/kg,,Y,Yes,-74.13984489,40.74000236
733,16A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.018,ug/kg,,Y,Yes,-74.13984489,40.74000236
734,16A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.024,ug/kg,,Y,Yes,-74.13984489,40.74000236
735,16A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0054,ug/kg,0.0054,N,Yes,-74.13984489,40.74000236
736,16A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00036,ug/kg,0.00036,N,Yes,-74.13984489,40.74000236
737,16A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00064,ug/kg,0.00064,N,Yes,-74.13984489,40.74000236
738,17A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.014,ug/kg,,Y,Yes,-74.13805445,40.74052668
739,17A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.029,ug/kg,,Y,Yes,-74.13805445,40.74052668
740,17A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.041,ug/kg,0.041,N,Yes,-74.13805445,40.74052668
741,17A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.029,ug/kg,,Y,Yes,-74.13805445,40.74052668
742,17A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.027,ug/kg,0.027,N,Yes,-74.13805445,40.74052668
743,17A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00083,ug/kg,0.00083,N,Yes,-74.13805445,40.74052668
744,17A,12/2/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00061,ug/kg,0.00061,N,Yes,-74.13805445,40.74052668
745,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.034,ug/kg,,Y,Yes,-74.13610966,40.74094321
746,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.029,ug/kg,,Y,Yes,-74.13610966,40.74094321
747,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.046,ug/kg,,Y,Yes,-74.13610966,40.74094321
748,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0059,ug/kg,,Y,Yes,-74.13610966,40.74094321
749,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0032,ug/kg,0.0032,N,Yes,-74.13610966,40.74094321
750,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.017,ug/kg,0.017,N,Yes,-74.13610966,40.74094321
751,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00096,ug/kg,0.00096,N,Yes,-74.13610966,40.74094321
752,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00087,ug/kg,0.00087,N,Yes,-74.13610966,40.74094321
753,18A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00067,ug/kg,0.00067,N,Yes,-74.13610966,40.74094321
754,19A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.019,ug/kg,,Y,Yes,-74.13534007,40.74106044
755,19A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.031,ug/kg,,Y,Yes,-74.13534007,40.74106044
756,19A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.046,ug/kg,,Y,Yes,-74.13534007,40.74106044
757,19A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0044,ug/kg,0.0044,N,Yes,-74.13534007,40.74106044
758,19A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0048,ug/kg,0.0048,N,Yes,-74.13534007,40.74106044
759,19A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00069,ug/kg,0.00069,N,Yes,-74.13534007,40.74106044
760,19A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00083,ug/kg,0.00083,N,Yes,-74.13534007,40.74106044
761,20A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0024,ug/kg,0.0024,N,Yes,-74.13457794,40.74114752
762,20A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.048,ug/kg,0.048,N,Yes,-74.13457794,40.74114752
763,20A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.024,ug/kg,0.024,N,Yes,-74.13457794,40.74114752
764,20A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00033,ug/kg,0.00033,N,Yes,-74.13457794,40.74114752
765,20A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.018,ug/kg,,Y,Yes,-74.13457794,40.74114752
766,20A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0036,ug/kg,,Y,Yes,-74.13457794,40.74114752
767,20A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0014,ug/kg,0.0014,N,Yes,-74.13457794,40.74114752
768,21A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0081,ug/kg,,Y,Yes,-74.13378665,40.74127013
769,21A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.022,ug/kg,,Y,Yes,-74.13378665,40.74127013
770,21A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.026,ug/kg,,Y,Yes,-74.13378665,40.74127013
771,21A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.011,ug/kg,,Y,Yes,-74.13378665,40.74127013
772,21A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.029,ug/kg,0.029,N,Yes,-74.13378665,40.74127013
773,21A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0022,ug/kg,0.0022,N,Yes,-74.13378665,40.74127013
774,21A,12/4/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0012,ug/kg,0.0012,N,Yes,-74.13378665,40.74127013
775,22A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0051,ug/kg,,Y,Yes,-74.12216061,40.74110616
776,22A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.041,ug/kg,,Y,Yes,-74.12216061,40.74110616
777,22A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.03,ug/kg,,Y,Yes,-74.12216061,40.74110616
778,22A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.005,ug/kg,0.005,N,Yes,-74.12216061,40.74110616
779,22A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0011,ug/kg,0.0011,N,Yes,-74.12216061,40.74110616
780,22A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0021,ug/kg,0.0021,N,Yes,-74.12216061,40.74110616
781,22A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0008,ug/kg,0.0008,N,Yes,-74.12216061,40.74110616
782,23A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.033,ug/kg,,Y,Yes,-74.11811521,40.73846851
783,23A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.012,ug/kg,0.012,N,Yes,-74.11811521,40.73846851
784,23A,11/21/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.026,ug/kg,,Y,Yes,-74.11811521,40.73846851
785,26A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.0039,ug/kg,0.0039,N,Yes,-74.1176423,40.71343654
786,26A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",0.00066,ug/kg,0.00066,N,Yes,-74.1176423,40.71343654
